target,alpha,beta
0,-250.43444,285.10639
0,-86.08486,131.28508
1,233.03739,-159.71041
0,-170.49835,1.44386
1,607.53073,7.72956
0,-151.54895,-151.65647
0,-228.53735,-182.42849
1,566.76356,-5.5888
0,-218.95248,-145.29954
1,250.91843,-310.23113
0,-202.40262,93.90365
0,-232.28299,11.46836
0,-95.31922,-3.23169
0,-172.09837,139.07185
0,-191.89506,-265.71799
1,464.55243,-47.38562
0,-292.91889,125.99389
1,421.87157,-9.42356
0,-283.56807,-129.88978
1,422.61613,-41.83471
0,-43.01834,-33.16453
0,-255.00183,95.71734
0,-125.10472,75.33161
0,-95.6299,222.5077
0,-132.22117,-105.49197
0,-94.52191,239.86389
0,-170.05616,224.14546
0,-195.64942,-119.97802
0,-186.4782,3.16894
0,-246.06606,-232.64989
0,-245.86807,137.30226
0,-233.51671,-305.1237
1,636.30769,173.72473
0,-201.16721,-228.20862
0,-142.03735,275.34839
0,-221.41487,-168.67995
0,-102.39552,522.35438
0,-155.86684,53.6463
0,121.23397,63.87206
0,-244.64739,-103.48385
0,-261.17848,33.61661
1,223.92881,-164.96553
0,-187.57233,114.63345
1,484.54664,-246.37389
0,-285.5268,-56.14867
0,-138.99666,318.82062
0,-256.86929,-172.97584
0,-207.34814,16.98736
1,630.96565,-135.9762
0,-191.0978,74.92034
0,-112.43994,-70.29919
0,-197.15944,-128.74404
0,-163.91436,185.17619
1,570.36785,-69.6529
0,2.62633,-22.18993
1,513.33198,-10.29844
0,-46.58863,99.09003
1,422.25198,217.71974
0,-253.97954,-213.17904
0,-301.70578,-154.28402
0,-197.88833,-197.35858
0,-246.54743,-6.13843
1,203.59074,-342.37818
0,-111.63116,118.81792
0,-237.7762,-164.57009
0,-75.35172,220.69832
0,-294.61008,-42.44401
0,-205.75663,-78.71286
0,-300.00695,-235.48736
0,-258.64889,-308.08823
0,-203.44511,282.67307
0,-295.92118,-184.09948
1,487.93927,85.73579
0,28.0485,-51.1567
1,648.40631,-115.96156
0,-232.58674,-78.79337
1,525.03305,-26.33232
0,-265.10336,263.34701
0,-206.21368,-230.7801
1,357.51769,157.60364
0,-257.02861,47.11793
1,557.9665,6.89045
1,376.53803,-6.78393
0,-68.40799,100.50192
0,-193.13726,9.61367
0,-5.03221,367.09552
1,595.55879,0.27663
0,-194.16638,-228.47216
1,584.13604,-53.44354
1,573.08234,-227.68612
0,-351.50331,-168.00642
1,505.98669,-62.17861
1,572.3234,149.04185
0,-163.0405,212.77746
1,325.4264,-135.82646
0,-197.80278,-83.54484
0,-257.5797,-130.77282
1,433.5486,-105.31604
0,-292.89054,-233.64059
0,-156.71354,-115.9103
0,-179.24296,368.43913
0,4.47374,46.74752
0,-173.024,-52.91148
1,199.862,-264.17914
